ICM_ID,boundary,landchange_allowed
972,2D compartment - GoM,0
973,2D compartment - GoM,0
974,2D compartment - GoM,0
975,2D compartment - GoM,0
976,2D compartment - GoM,0
977,2D compartment - GoM,0
978,2D compartment - GoM,0
979,2D offshore boundary compartment,0
980,2D compartment,1
981,2D compartment,1
982,1D lateral connection,0
983,1D lateral connection,0
984,1D lateral connection,0
985,1D lateral connection,0
986,2D compartment,1
987,2D compartment,1
988,2D compartment,1
989,1D lateral connection,0
990,2D compartment,1
991,upland areas; non-wetland,0
992,upland areas; non-wetland,0
993,1D lateral connection,0
994,1D lateral connection,0
995,2D compartment,1
996,1D lateral connection,0
997,2D compartment,1
998,1D lateral connection,0
999,1D lateral connection,0
1000,1D lateral connection,0
1001,2D compartment,1
1002,1D lateral connection,0
1003,2D compartment,1
1004,2D compartment,1
1005,2D compartment,1
1006,2D compartment,1
1007,1D lateral connection,0
1008,2D compartment,1
1009,2D compartment,1
1010,2D compartment,1
1011,1D lateral connection,0
1012,modeled as 1D reach,0
1013,modeled as 1D reach,0
1014,modeled as 1D reach,0
1015,modeled as 1D reach,0
1016,modeled as 1D reach,0
1017,modeled as 1D reach,0
1018,1D lateral connection,0
1019,2D compartment,1
1020,2D compartment - GoM,0
1021,1D lateral connection,0
1022,1D lateral connection,0
1023,2D compartment,1
1024,2D compartment,1
1025,2D compartment,1
1026,2D compartment,1
1027,2D compartment,1
1028,2D compartment,1
1029,2D compartment,1
1030,2D compartment,1
1031,2D compartment,1
1032,2D compartment,1
1033,2D compartment,1
1034,2D compartment,1
1035,2D compartment,1
1036,2D compartment,1
1037,2D compartment,1
1038,2D compartment,1
1039,2D compartment,1
1040,2D compartment,1
1041,2D compartment,1
1042,2D compartment,1
1043,2D compartment,1
1044,2D compartment,1
1045,2D compartment,1
1046,1D lateral connection,0
1047,2D compartment,1
1048,2D compartment,1
1049,2D compartment,1
1050,2D compartment,1
1051,2D compartment,1
1052,2D compartment,1
1053,2D compartment,1
1054,modeled as 1D reach,0
1055,1D lateral connection,0
1056,1D lateral connection,0
1057,2D compartment,1
1058,2D compartment,1
1059,2D compartment,1
1060,2D compartment,1
1061,2D compartment,1
1062,2D compartment,1
1063,2D compartment,1
1064,2D compartment,1
1065,2D compartment,1
1066,2D compartment,1
1067,2D compartment,1
1068,2D compartment,1
1069,2D compartment,1
1070,2D compartment,1
1071,2D compartment,1
1072,2D compartment,1
1073,2D compartment,1
1074,2D compartment,1
1075,2D compartment,1
1076,2D compartment,1
1077,2D compartment,1
1078,2D compartment,1
1079,2D compartment - GoM,0
1080,2D compartment,1
1081,2D compartment,1
1082,2D compartment,1
1083,2D compartment,1
1084,2D compartment,1
1085,2D compartment,1
1086,2D compartment,1
1087,2D compartment,1
1088,2D compartment,1
1089,2D compartment,1
1090,2D compartment,1
1091,2D compartment,1
1092,2D compartment,1
1093,2D compartment,1
1094,2D compartment,1
1095,2D compartment,1
1096,2D compartment,1
1097,2D compartment,1
1098,2D compartment,1
1099,2D compartment,1
1100,2D compartment,1
1101,2D compartment,1
1102,2D compartment,1
1103,2D compartment,1
1104,2D compartment,1
1105,2D compartment,1
1106,2D compartment,1
1107,2D compartment,1
1108,2D compartment,1
1109,2D compartment,1
1110,2D compartment,1
1111,2D compartment,1
1112,2D compartment,1
1113,2D compartment,1
1114,2D compartment,1
1115,2D compartment,1
1116,2D compartment,1
1117,2D compartment,1
1118,2D compartment,1
1119,2D compartment,1
1120,2D compartment,1
1121,2D compartment,1
1122,2D compartment,1
1123,2D compartment,1
1124,2D compartment,1
1125,2D compartment,1
1126,2D compartment,1
1127,2D compartment,1
1128,2D compartment,1
1129,2D compartment,1
1130,2D compartment,1
1131,2D compartment,1
1132,2D compartment,1
1133,2D compartment,1
1134,2D compartment,1
1135,2D compartment,1
1136,modeled as 1D reach,0
1137,modeled as 1D reach,0
1138,modeled as 1D reach,0
1139,modeled as 1D reach,0
1140,2D compartment,1
1141,2D compartment,1
1142,2D compartment,1
1143,2D compartment,1
1144,2D compartment,1
1145,2D compartment,1
1146,2D compartment,1
1147,2D compartment,1
1148,2D compartment,1
1149,2D compartment,1
1150,2D compartment,1
1151,2D compartment,1
1152,2D compartment,1
1153,2D compartment,1
1154,2D compartment,1
1155,2D compartment,1
1156,2D compartment,1
1157,2D compartment,1
1158,2D compartment,1
1159,2D compartment,1
1160,2D compartment,1
1161,2D compartment,1
1162,2D compartment,1
1163,2D compartment,1
1164,2D compartment,1
1165,2D compartment,1
1166,2D compartment,1
1167,2D compartment,1
1168,2D compartment,1
1169,2D compartment,1
1170,2D compartment,1
1171,2D compartment,1
1172,2D compartment,1
1173,2D compartment,1
1174,2D compartment,1
1175,2D compartment,1
1176,2D compartment,1
1177,2D compartment,1
1178,2D compartment,1
1179,2D compartment,1
1180,2D compartment,1
1181,2D compartment,1
1182,2D compartment,1
1183,2D compartment,1
1184,2D compartment,1
1185,2D compartment,1
1186,2D compartment,1
1187,2D compartment,1
1188,2D compartment,1
1189,2D compartment,1
1190,2D compartment,1
1191,2D compartment,1
1192,2D compartment,1
1193,2D compartment,1
1194,2D compartment - GoM,0
1195,2D compartment,1
1196,2D compartment,1
1197,2D compartment,1
1198,2D compartment,1
1199,2D compartment - GoM,0
1200,2D compartment,1
1201,2D compartment,1
1202,2D compartment,1
1203,2D compartment,1
1204,2D compartment,1
1205,2D compartment,1
1206,2D compartment,1
1207,2D compartment,1
1208,2D compartment,1
1209,2D compartment,1
1210,2D compartment,1
1211,2D compartment,1
1212,2D compartment,1
1213,2D compartment,1
1214,2D compartment,1
1215,2D compartment,1
1216,2D compartment,1
1217,2D compartment,1
1218,2D compartment,1
1219,2D compartment,1
1220,2D compartment,1
1221,2D compartment,1
1222,2D compartment,1
1223,2D compartment,1
1224,2D compartment,1
1225,2D compartment,1
1226,2D compartment,1
1227,2D compartment,1
1228,2D compartment,1
1229,2D compartment,1
1230,2D compartment,1
1231,2D compartment,1
1232,2D compartment,1
1233,2D compartment,1
1234,2D compartment,1
1235,2D compartment,1
1236,2D compartment,1
1237,2D compartment,1
1238,2D compartment,1
1239,2D compartment,1
1240,2D compartment,1
1241,2D compartment,1
1242,2D compartment,1
1243,2D compartment,1
1244,2D compartment,1
1245,2D compartment,1
1246,2D compartment,1
1247,2D compartment,1
1248,2D compartment,1
1249,2D compartment,1
1250,2D compartment,1
1251,2D compartment,1
1252,2D compartment,1
1253,2D compartment,1
1254,2D compartment,1
1255,2D compartment,1
1256,2D compartment,1
1257,2D compartment,1
1258,2D compartment,1
1259,2D compartment,1
1260,2D compartment,1
1261,1D lateral connection,0
1262,2D compartment,1
1263,1D lateral connection,0
1264,1D lateral connection,0
1265,2D compartment,1
1266,2D compartment,1
1267,2D compartment,1
1268,1D lateral connection,0
1269,2D compartment,1
1270,2D compartment,1
1271,2D compartment,1
1272,1D lateral connection,0
1273,2D compartment,1
1274,2D compartment,1
1275,2D compartment - GoM,0
1276,2D compartment,1
1277,1D lateral connection,0
1278,1D lateral connection,0
1279,2D compartment,1
1280,2D compartment,1
1281,modeled as 1D reach,0
1282,2D compartment,1
1283,2D compartment,1
1284,2D compartment,1
1285,2D compartment,1
1286,2D compartment,1
1287,2D compartment,1
1288,2D compartment,1
1289,2D compartment,1
1290,2D compartment,1
1291,2D compartment,1
1292,2D compartment,1
1293,2D compartment,1
1294,2D compartment,1
1295,2D compartment,1
1296,2D compartment,1
1297,2D compartment,1
1298,2D compartment,1
1299,2D compartment,1
1300,2D compartment - GoM,0
1301,2D compartment,1
1302,2D compartment,1
1303,2D compartment,1
1304,2D compartment,1
1305,2D compartment,1
1306,2D compartment,1
1307,2D compartment,1
1308,2D compartment,1
1309,2D compartment,1
1310,2D compartment,1
1311,2D compartment,1
1312,2D compartment,1
1313,2D compartment,1
1314,2D compartment,1
1315,2D compartment,1
1316,2D compartment,1
1317,2D compartment,1
1318,2D compartment,1
1319,2D compartment,1
1320,2D compartment,1
1321,2D tributary boundary (Qmult > 0),0
1322,2D compartment,1
1323,2D compartment,1
1324,2D compartment,1
1325,2D compartment,1
1326,2D tributary boundary (Qmult > 0),0
1327,2D compartment,1
1328,2D compartment,1
1329,2D compartment,1
1330,2D compartment,1
1331,2D compartment,1
1332,2D compartment,1
1333,2D compartment - GoM,0
1334,2D compartment - GoM,0
1335,2D offshore boundary compartment,0
1336,2D compartment - GoM,0
1337,2D offshore boundary compartment,0
1338,2D offshore boundary compartment,0
1339,2D compartment - GoM,0
1340,2D compartment - GoM,0
1341,2D compartment,1
1342,1D terminal connection,0
1343,2D compartment - GoM,0
1344,2D compartment - GoM,0
1345,2D compartment - GoM,0
1346,2D compartment - GoM,0
1347,2D compartment - GoM,0
1348,2D compartment - GoM,0
1349,2D compartment - GoM,0
1350,2D compartment - GoM,0
1351,2D compartment - GoM,0
1352,2D compartment - GoM,0
1353,2D compartment - GoM,0
1354,2D compartment - GoM,0
1355,2D compartment - GoM,0
1356,2D compartment - GoM,0
1357,2D compartment - GoM,0
1358,2D compartment - GoM,0
1359,2D compartment - GoM,0
1360,2D compartment - GoM,0
1361,2D compartment - GoM,0
1362,2D compartment - GoM,0
1363,2D compartment - GoM,0
1364,2D compartment - GoM,0
1365,2D compartment - GoM,0
1366,2D compartment - GoM,0
1367,2D compartment - GoM,0
1368,2D compartment - GoM,0
1369,2D compartment - GoM,0
1370,2D compartment - GoM,0
1371,2D compartment - GoM,0
1372,2D compartment - GoM,0
1373,2D compartment - GoM,0
1374,2D compartment - GoM,0
1375,2D compartment - GoM,0
1376,2D compartment - GoM,0
1377,2D compartment - GoM,0
1378,2D compartment - GoM,0
1379,2D compartment - GoM,0
1380,2D compartment - GoM,0
1381,2D compartment - GoM,0
1382,2D compartment,1
1383,2D compartment,1
1384,2D compartment,1
1385,2D compartment,1
1386,2D compartment,1
1387,2D compartment,1
