prj_no,S,year,code,ecoregion,value
G300_FWOA_v3,S01,20,WAT,LTB,3173148000.0
G300_FWOA_v3,S01,20,WAT,UBA,422023500.0
G300_FWOA_v3,S01,20,WAT,BFD,1719532800.0
G300_FWOA_v3,S01,20,WAT,UPO,2166051600.0
G300_FWOA_v3,S01,20,WAT,LPO,4834722600.0
G300_FWOA_v3,S01,20,WAT,MEL,697406400.0
G300_FWOA_v3,S01,20,WAT,LBA,2895789600.0
G300_FWOA_v3,S01,20,WAT,BRT,2117111400.0
G300_FWOA_v3,S01,20,WAT,CAS,984146400.0
G300_FWOA_v3,S01,20,WAT,EWCR,1065435300.0
G300_FWOA_v3,S01,25,WAT,AVT,3514018500.0
G300_FWOA_v3,S01,25,WAT,LTB,3242307600.0
G300_FWOA_v3,S01,25,WAT,UBA,424723500.0
G300_FWOA_v3,S01,25,WAT,BFD,1749994200.0
G300_FWOA_v3,S01,25,WAT,UPO,2172033900.0
G300_FWOA_v3,S01,25,WAT,LPO,4850519400.0
G300_FWOA_v3,S01,25,WAT,MEL,712368900.0
G300_FWOA_v3,S01,25,WAT,LBA,2962804500.0
G300_FWOA_v3,S01,25,WAT,BRT,2134120500.0
G300_FWOA_v3,S01,25,WAT,CAS,990327600.0
G300_FWOA_v3,S01,25,WAT,EWCR,1117566900.0
G300_FWOA_v3,S01,30,WAT,AVT,3546589500.0
G300_FWOA_v3,S01,30,WAT,LTB,3303189000.0
G300_FWOA_v3,S01,30,WAT,UBA,428827500.0
G300_FWOA_v3,S01,30,WAT,BFD,1751670000.0
G300_FWOA_v3,S01,30,WAT,UPO,2179326600.0
G300_FWOA_v3,S01,30,WAT,LPO,4875049800.0
G300_FWOA_v3,S01,30,WAT,MEL,731860200.0
G300_FWOA_v3,S01,30,WAT,LBA,3044065500.0
G300_FWOA_v3,S01,30,WAT,BRT,2151448200.0
G300_FWOA_v3,S01,30,WAT,CAS,1005813000.0
G300_FWOA_v3,S01,30,WAT,EWCR,1135108800.0
G300_FWOA_v3,S01,35,WAT,AVT,3583770300.0
G300_FWOA_v3,S01,35,WAT,LTB,3357617400.0
G300_FWOA_v3,S01,35,WAT,UBA,430255800.0
G300_FWOA_v3,S01,35,WAT,BFD,1744121700.0
G300_FWOA_v3,S01,35,WAT,UPO,2184606900.0
G300_FWOA_v3,S01,35,WAT,LPO,4901848200.0
G300_FWOA_v3,S01,35,WAT,MEL,822029400.0
G300_FWOA_v3,S01,35,WAT,LBA,3139550100.0
G300_FWOA_v3,S01,35,WAT,BRT,2164114800.0
G300_FWOA_v3,S01,35,WAT,CAS,1029438000.0
G300_FWOA_v3,S01,35,WAT,EWCR,1163224800.0
G300_FWOA_v3,S01,40,WAT,AVT,3635963100.0
G300_FWOA_v3,S01,40,WAT,LTB,3430104300.0
G300_FWOA_v3,S01,40,WAT,UBA,435433500.0
G300_FWOA_v3,S01,40,WAT,BFD,1751853600.0
G300_FWOA_v3,S01,40,WAT,UPO,2192555700.0
G300_FWOA_v3,S01,40,WAT,LPO,4933040400.0
G300_FWOA_v3,S01,40,WAT,MEL,840694500.0
G300_FWOA_v3,S01,40,WAT,LBA,3263468400.0
G300_FWOA_v3,S01,40,WAT,BRT,2194850700.0
G300_FWOA_v3,S01,40,WAT,CAS,1050838200.0
G300_FWOA_v3,S01,40,WAT,EWCR,1202976000.0
G300_FWOA_v3,S01,45,WAT,AVT,3697048800.0
G300_FWOA_v3,S01,45,WAT,LTB,3517977600.0
G300_FWOA_v3,S01,45,WAT,UBA,448073100.0
G300_FWOA_v3,S01,45,WAT,BFD,1747066500.0
G300_FWOA_v3,S01,45,WAT,UPO,2199681000.0
G300_FWOA_v3,S01,45,WAT,LPO,4975704900.0
G300_FWOA_v3,S01,45,WAT,MEL,900110700.0
G300_FWOA_v3,S01,45,WAT,LBA,3393295200.0
G300_FWOA_v3,S01,45,WAT,BRT,2220096600.0
G300_FWOA_v3,S01,45,WAT,CAS,1087285500.0
G300_FWOA_v3,S01,45,WAT,EWCR,1247592600.0
G300_FWOA_v3,S01,50,WAT,AVT,3806124300.0
G300_FWOA_v3,S01,50,WAT,LTB,3640870800.0
G300_FWOA_v3,S01,50,WAT,UBA,464965200.0
G300_FWOA_v3,S01,50,WAT,BFD,1750932900.0
G300_FWOA_v3,S01,50,WAT,UPO,2209127400.0
G300_FWOA_v3,S01,50,WAT,LPO,5047279200.0
G300_FWOA_v3,S01,50,WAT,MEL,950495400.0
G300_FWOA_v3,S01,50,WAT,LBA,3490773300.0
G300_FWOA_v3,S01,50,WAT,BRT,2253690000.0
G300_FWOA_v3,S01,50,WAT,CAS,1123092000.0
G300_FWOA_v3,S01,50,WAT,EWCR,1305387900.0
G300_FWOA_v3,S01,5,BLH,AVT,769357800.0
G300_FWOA_v3,S01,5,BLH,LTB,81878400.0
G300_FWOA_v3,S01,5,BLH,UBA,761815800.0
G300_FWOA_v3,S01,5,BLH,BFD,8599500.0
G300_FWOA_v3,S01,5,BLH,UPO,1043605800.0
G300_FWOA_v3,S01,5,BLH,LPO,0.0
G300_FWOA_v3,S01,5,BLH,MEL,37953900.0
G300_FWOA_v3,S01,5,BLH,LBA,462600.0
G300_FWOA_v3,S01,5,BLH,BRT,2326500.0
G300_FWOA_v3,S01,5,BLH,CAS,3623400.0
G300_FWOA_v3,S01,5,BLH,EWCR,0.0
G300_FWOA_v3,S01,10,BLH,AVT,748289700.0
G300_FWOA_v3,S01,10,BLH,LTB,59225400.0
G300_FWOA_v3,S01,10,BLH,UBA,645685200.0
G300_FWOA_v3,S01,10,BLH,BFD,7337700.0
G300_FWOA_v3,S01,10,BLH,UPO,876022200.0
G300_FWOA_v3,S01,10,BLH,LPO,5400.0
G300_FWOA_v3,S01,10,BLH,MEL,31334400.0
G300_FWOA_v3,S01,10,BLH,LBA,41400.0
G300_FWOA_v3,S01,10,BLH,BRT,1320300.0
G300_FWOA_v3,S01,10,BLH,CAS,2380500.0
G300_FWOA_v3,S01,10,BLH,EWCR,0.0
G300_FWOA_v3,S01,15,BLH,AVT,696258000.0
G300_FWOA_v3,S01,15,BLH,LTB,42756300.0
G300_FWOA_v3,S01,15,BLH,UBA,415666800.0
G300_FWOA_v3,S01,15,BLH,BFD,5938200.0
G300_FWOA_v3,S01,15,BLH,UPO,279924300.0
G300_FWOA_v3,S01,15,BLH,LPO,0.0
G300_FWOA_v3,S01,15,BLH,MEL,28036800.0
G300_FWOA_v3,S01,15,BLH,LBA,22500.0
G300_FWOA_v3,S01,15,BLH,BRT,402300.0
G300_FWOA_v3,S01,15,BLH,CAS,1860300.0
G300_FWOA_v3,S01,15,BLH,EWCR,0.0
G300_FWOA_v3,S01,20,BLH,AVT,637848000.0
G300_FWOA_v3,S01,20,BLH,LTB,37346400.0
G300_FWOA_v3,S01,20,BLH,UBA,170546400.0
G300_FWOA_v3,S01,20,BLH,BFD,3383100.0
G300_FWOA_v3,S01,20,BLH,UPO,204140700.0
G300_FWOA_v3,S01,20,BLH,LPO,0.0
G300_FWOA_v3,S01,20,BLH,MEL,22113000.0
G300_FWOA_v3,S01,20,BLH,LBA,57600.0
G300_FWOA_v3,S01,20,BLH,BRT,316800.0
G300_FWOA_v3,S01,20,BLH,CAS,1556100.0
G300_FWOA_v3,S01,20,BLH,EWCR,0.0
G300_FWOA_v3,S01,25,BLH,AVT,599300100.0
G300_FWOA_v3,S01,25,BLH,LTB,32364900.0
G300_FWOA_v3,S01,25,BLH,UBA,143477100.0
G300_FWOA_v3,S01,25,BLH,BFD,0.0
G300_FWOA_v3,S01,25,BLH,UPO,184291200.0
G300_FWOA_v3,S01,25,BLH,LPO,0.0
G300_FWOA_v3,S01,25,BLH,MEL,12896100.0
G300_FWOA_v3,S01,25,BLH,LBA,10800.0
G300_FWOA_v3,S01,25,BLH,BRT,0.0
G300_FWOA_v3,S01,25,BLH,CAS,1308600.0
G300_FWOA_v3,S01,25,BLH,EWCR,0.0
G300_FWOA_v3,S01,30,BLH,AVT,550466100.0
G300_FWOA_v3,S01,30,BLH,LTB,29223000.0
G300_FWOA_v3,S01,30,BLH,UBA,108213300.0
G300_FWOA_v3,S01,30,BLH,BFD,3600.0
G300_FWOA_v3,S01,30,BLH,UPO,171099900.0
G300_FWOA_v3,S01,30,BLH,LPO,8100.0
G300_FWOA_v3,S01,30,BLH,MEL,12414600.0
G300_FWOA_v3,S01,30,BLH,LBA,45900.0
G300_FWOA_v3,S01,30,BLH,BRT,79200.0
G300_FWOA_v3,S01,30,BLH,CAS,1859400.0
G300_FWOA_v3,S01,30,BLH,EWCR,0.0
G300_FWOA_v3,S01,35,BLH,AVT,511596000.0
G300_FWOA_v3,S01,35,BLH,LTB,24690600.0
G300_FWOA_v3,S01,35,BLH,UBA,62818200.0
G300_FWOA_v3,S01,35,BLH,BFD,117000.0
G300_FWOA_v3,S01,35,BLH,UPO,159470100.0
G300_FWOA_v3,S01,35,BLH,LPO,0.0
G300_FWOA_v3,S01,35,BLH,MEL,11706300.0
G300_FWOA_v3,S01,35,BLH,LBA,17100.0
G300_FWOA_v3,S01,35,BLH,BRT,52200.0
G300_FWOA_v3,S01,35,BLH,CAS,1773000.0
G300_FWOA_v3,S01,35,BLH,EWCR,0.0
G300_FWOA_v3,S01,40,BLH,AVT,491500800.0
G300_FWOA_v3,S01,40,BLH,LTB,19345500.0
G300_FWOA_v3,S01,40,BLH,UBA,60118200.0
G300_FWOA_v3,S01,40,BLH,BFD,9900.0
G300_FWOA_v3,S01,40,BLH,UPO,152289000.0
G300_FWOA_v3,S01,40,BLH,LPO,0.0
G300_FWOA_v3,S01,40,BLH,MEL,10278000.0
G300_FWOA_v3,S01,40,BLH,LBA,23400.0
G300_FWOA_v3,S01,40,BLH,BRT,54000.0
