ICM-Hydro_compartment,CRMS_site,LDEQ_site
576,CRMS0496-H02,LDEQ_0692
577,na,na
578,na,na
579,CRMS0545-H01,na
580,CRMS0490-H01,na
581,na,na
582,na,na
583,na,na
584,na,na
585,na,na
586,na,na
587,CRMS0324-H01,na
588,na,na
589,na,na
590,na,na
591,CRMS0403-H01,LDEQ_0338
592,na,na
593,na,na
594,na,na
595,CRMS4900-H01,na
596,na,na
597,na,na
598,na,na
599,CRMS6042-H01,na
600,na,na
601,na,na
602,na,na
603,na,na
604,na,na
605,na,na
606,na,na
607,na,na
608,na,na
609,na,na
610,na,na
611,na,na
612,na,na
613,na,na
614,na,na
615,na,na
616,na,na
617,na,na
618,na,na
619,na,na
620,CRMS0463-H01,na
621,na,na
622,na,na
623,na,na
624,na,na
625,na,na
626,na,na
627,na,na
628,na,na
629,na,na
630,na,na
631,na,na
632,na,na
633,na,LDEQ_0942
634,na,na
635,na,na
636,na,na
637,na,na
638,na,na
639,na,na
640,na,na
641,CRMS5035-H01,na
642,na,na
643,na,na
644,na,na
645,CRMS2862-H01,na
646,na,na
647,na,na
648,na,na
649,na,na
650,na,na
651,na,na
652,CRMS0398-H01,na
653,na,na
654,CRMS0294-H01,LDEQ_3586
655,na,na
656,CRMS2785-H01,na
657,CRMS0409-H01,na
658,CRMS2887-H01,na
659,na,na
660,na,na
661,na,na
662,CRMS4045-H01,na
663,na,na
664,na,LDEQ_0955
665,na,LDEQ_0937
666,CRMS0382-H01,na
667,na,LDEQ_0961
668,na,na
669,na,LDEQ_0939
670,CRMS0377-H01,na
671,na,na
672,na,na
673,na,na
674,na,na
675,na,na
676,na,na
677,na,na
678,na,na
679,na,na
680,na,na
681,na,na
682,na,na
683,na,na
684,na,na
685,CRMS0421-H01,na
686,na,na
687,na,na
688,na,LDEQ_0938
689,CRMS0390-H01,na
690,na,na
691,na,na
692,na,na
693,na,na
694,CRMS0307-H01,LDEQ_0948
695,na,na
696,CRMS0376-H01,na
697,na,na
698,na,na
